name	number	release_date	first_edition	holographic	missing	notes	_file	collection_name	image	release_year
151C 104	104	2025-01-17 00:00:00+01:00	False	True	False	Chinese masterball exclusive	151c-104-104-1.md	Collection 151 	/uploads/151-c-master.jpg	
151C 104	104	2025-01-17 00:00:00+01:00	False	True	False	Chinese pokeball exclusive	151c-104-104.md	Collection 151 	/uploads/151-c-poke.jpg	
151C-173 Gather	173	2025-10-17 00:00:00+02:00	False	True	True	Cubone cameo only in the Gather expansion.	151c-173-gather-173.md	Collection 151 (ATCG)	/uploads/151c-173-gather-cameo.png	
200/SM-P	200	2018-04-06 00:00:00+02:00	False	True	True	"Cubone cameo - Pokémon Card Friendly Shop purchase campaign (April 6, 2018)



134/SM-P in Korean"	200-sm-p-200.md	SM-P Promotional cards	/uploads/smp-200-cameo.png	
AQ 72	72	2003-01-15 00:00:00+01:00	False	True			aq-72-72-1.md	Aquapolis	/uploads/aq-72-h.jpg	
AQ 72	72	2003-01-15 00:00:00+01:00	False	False			aq-72-72.md	Aquapolis	/uploads/aq-72.jpg	
B2 70	70	2000-02-24 00:00:00+01:00	False	False		Not really needed based on the collection rules given the only difference is collection logo compared to JU 50.	b2-70-70.md	Base Set 2	/uploads/b2-70.jpg	
BKT 77	77	2015-11-04 00:00:00+01:00	False	True			bkt-77-77-1.md	BREAKthrough	/uploads/bkt-77-h.jpg	
BKT 77	77	2015-11-04 00:00:00+01:00	False	False		The Japanese sets are available in both 1st and unlimited edition (Red Flash - XY8r 034).	bkt-77-77.md	BREAKthrough	/uploads/bkt-77.jpg	
BST 69	69	2021-03-19 00:00:00+01:00	False	True			bst-69-69-1.md	Battle Styles	/uploads/bst-69-h.jpg	
BST 69	69	2022-09-01 00:00:00+02:00	False	False		Feature a Pikachu jack-o'-lantern stamp in the bottom right corner of the artwork.	bst-69-69-2.md	Trick or Trade 2022	/uploads/bst-69-hallo.jpg	
BST 69	69	2021-03-19 00:00:00+01:00	False	False	False	"Start Deck 100 (sI100 214) and Rapid Strike Master (s5R 40) exist, but the only difference is the collection logo. No different holo or stamp.



I got a copy of srR 40 not displayed here."	bst-69-69.md	Battle Styles	/uploads/bst-69.jpg	
CIN 52	52	2017-11-03 00:00:00+01:00	False	True			cin-52-52-1.md	Crimson Invasion	/uploads/cin-52-h.jpg	
CIN 52	52	2017-11-03 00:00:00+01:00	False	False	False	sm4S 28  in Japanese	cin-52-52.md	Crimson Invasion	/uploads/cin-52.jpg	
CoroCoro Comic - Cubone	104	1998-05-15 00:00:00+02:00	False	False	False		corocoro-comic-cubone-104.md	Unnumbered Promotional card	/uploads/corocoro-104.jpg	
 CP4 068	068	2016-04-16 00:00:00+02:00	False	True	True	Japanese exclusive mirror foil	cp4-068-068-1.md	Premium Champion Pack	/uploads/cp4-068-missing-jap-holo.png	
 CP4 068	068	2016-04-16 00:00:00+02:00	False	True		Cracked ice holographic. This holo pattern is exclusive to the Korean version.	cp4-068-068.md	Premium Champion Pack	/uploads/cp4-068-h.jpg	
CS3bC 071	71	2023-11-17 00:00:00+01:00	False	True		Chinese exclusive holo pattern.	cs3bc-071-71.md	Primordial Arts	/uploads/cs3bc-071-h.jpg	
csm1aC 64	64	2022-10-28 00:00:00+02:00	False	True	True	Chinese exclusive holo pattern	csm1ac-64-64.md	Storming Emergence 	/uploads/csma-64-missing.png	
DRX 60	60	2012-08-15 00:00:00+02:00	False	True			drx-60-60-1.md	Dragons Exalted	/uploads/drx-60-h.jpg	
DRX 60	60	2012-08-15 00:00:00+02:00	False	False		Japanase version exists (Dragon Blade - BW5e 024) in both 1st and unlimited edition.	drx-60-60.md	Dragons Exalted	/uploads/drx-60.jpg	
